developer_source,developer_target,interaction_type,repo,weight,timestamp
alice,bob,commit_review,frontend-app,3,2025-01-15
alice,charlie,pull_request,frontend-app,2,2025-01-16
bob,alice,issue_comment,frontend-app,1,2025-01-17
bob,diana,commit_review,backend-api,4,2025-01-18
charlie,alice,pull_request,data-service,3,2025-01-19
charlie,bob,issue_comment,frontend-app,1,2025-01-20
diana,alice,commit_review,backend-api,2,2025-01-21
diana,eve,pull_request,data-service,5,2025-01-22
eve,bob,issue_comment,frontend-app,1,2025-01-23
eve,charlie,commit_review,data-service,3,2025-01-24
frank,alice,pull_request,backend-api,4,2025-01-25
frank,diana,issue_comment,backend-api,2,2025-01-26
grace,bob,commit_review,frontend-app,3,2025-01-27
grace,eve,pull_request,data-service,2,2025-01-28
alice,eve,issue_comment,frontend-app,1,2025-01-29
bob,frank,commit_review,backend-api,5,2025-01-30
charlie,grace,pull_request,data-service,3,2025-01-31
diana,bob,issue_comment,frontend-app,2,2025-02-01
eve,alice,commit_review,data-service,4,2025-02-02
frank,charlie,pull_request,backend-api,3,2025-02-03
grace,diana,issue_comment,data-service,1,2025-02-04
alice,grace,commit_review,frontend-app,4,2025-02-05
bob,charlie,pull_request,frontend-app,2,2025-02-06
charlie,diana,issue_comment,data-service,3,2025-02-07
diana,frank,commit_review,backend-api,5,2025-02-08
eve,grace,pull_request,data-service,3,2025-02-09
frank,eve,issue_comment,backend-api,1,2025-02-10
alice,frank,commit_review,frontend-app,4,2025-02-11
bob,grace,pull_request,frontend-app,3,2025-02-12
charlie,frank,issue_comment,data-service,2,2025-02-13
diana,grace,commit_review,backend-api,5,2025-02-14
eve,diana,pull_request,data-service,3,2025-02-15
frank,bob,issue_comment,backend-api,1,2025-02-16
grace,alice,commit_review,frontend-app,4,2025-02-17
alice,diana,pull_request,frontend-app,3,2025-02-18
bob,eve,issue_comment,frontend-app,2,2025-02-19
charlie,alice,commit_review,data-service,5,2025-02-20
diana,bob,pull_request,backend-api,3,2025-02-21
eve,charlie,issue_comment,data-service,1,2025-02-22
frank,diana,commit_review,backend-api,4,2025-02-23
grace,eve,pull_request,data-service,3,2025-02-24
alice,charlie,issue_comment,frontend-app,2,2025-02-25
bob,diana,commit_review,frontend-app,5,2025-02-26
charlie,eve,pull_request,data-service,3,2025-02-27
diana,frank,issue_comment,backend-api,1,2025-02-28
eve,grace,commit_review,data-service,4,2025-03-01
alice,bob,pull_request,frontend-app,3,2025-03-02
bob,charlie,issue_comment,frontend-app,2,2025-03-03
charlie,diana,commit_review,data-service,5,2025-03-04
diana,eve,pull_request,backend-api,3,2025-03-05
eve,frank,issue_comment,data-service,1,2025-03-06
frank,grace,commit_review,backend-api,4,2025-03-07
grace,alice,pull_request,frontend-app,3,2025-03-08
alice,eve,issue_comment,frontend-app,2,2025-03-09
bob,frank,commit_review,frontend-app,5,2025-03-10
charlie,grace,pull_request,data-service,3,2025-03-11
diana,alice,issue_comment,backend-api,1,2025-03-12
eve,bob,commit_review,data-service,4,2025-03-13
frank,charlie,pull_request,backend-api,3,2025-03-14
grace,diana,issue_comment,frontend-app,2,2025-03-15